,lat,lng
0,20.885157,-157.8387
1,-24.337524,-128.30518999999998
2,26.069016,-173.9634
3,-31.810776,-53.282074
4,-20.895153,55.41322
5,-31.749537,115.766655
6,-23.328186,125.6257
7,-46.062347,168.50247
8,46.984512,102.85345
9,-0.54432607,-90.23066
10,61.18811,-149.87511999999995
11,64.07249,-147.20857
12,-51.73384,-69.23198000000001
13,9.911736,-2.4852905
14,64.121635,-21.923817
15,-26.738268,31.014465
16,6.648337400000001,3.9483610000000002
17,0.010029944,35.354942
18,16.020765,76.2502
19,7.400359,80.47428000000002
20,25.259914,55.275135
21,13.505482,144.7924
22,43.697132,144.01576
23,62.42462,-116.574326
24,58.764034,-94.096985
25,-16.509107999999998,-70.283615
26,-25.707987,-63.606956
27,-3.1329448,-60.731194
28,-5.7956265999999985,-47.859863
29,9.316376,-75.68743
30,11.408539,-70.77086
31,37.04982,-76.1447
32,63.743782,-68.51479
33,66.950935,-53.683723
34,28.385353,-16.4712
35,37.174053,-5.3379593000000005
36,68.947556,18.442064
37,27.17387,77.666374
38,42.154327,74.58838
39,58.172127,73.32011
40,54.393692,84.81321
41,-16.248907,168.24393
42,-5.1658545,112.45617
43,33.78294,135.35963
44,50.395966,135.10966000000002
45,20.675066,-103.00825
46,17.656914,-95.19519
47,16.320215,-90.553734
48,31.957571,-110.72354
49,48.42471,-122.80416
50,50.308254,-104.60775
51,47.91175,-95.8453
52,-43.01256,-71.31953
53,-38.016354,-60.329597
54,-33.93922,-60.124565
55,-9.234716,-77.08736999999998
56,-0.1222191,-78.45545
57,-18.914766,-49.99648300000001
58,-17.619257,-42.744476
59,-11.359727,-39.33463
60,46.256,-64.42241
61,47.90217,-53.868652
62,64.656746,-14.320402
63,-19.280085,23.385738
64,62.926807,40.511143
65,53.13895,48.542965
66,56.75561999999999,49.659092
67,61.060154,63.33969
68,-19.928524,142.88419
69,-43.118374,172.64049
70,-37.116096,174.75396999999995
71,-5.930854,105.99784
72,23.143908,90.42539
73,22.294956,114.11238
74,26.320078,127.74295
75,32.839935,130.8994
76,18.665539000000006,-99.20244
77,29.328407,-114.064964
78,36.146427,-111.66921
79,42.571297,-111.82295
80,31.473701,-99.56673
81,31.324322,-90.16019
82,37.779953000000006,-103.1769
83,41.946262,-103.62172
84,53.53935,-113.59661
85,-33.925564,-71.263695
86,-33.42561,-67.74436999999999
87,-27.068607,-53.566013
88,-26.329096000000003,-50.323536
89,-22.802723,-46.532955
90,-21.770626,-43.059772
91,-4.6771193,-40.848892
92,-6.9124966,-36.330677
93,25.51635,-80.45142
94,46.462616,-83.803
95,51.680443,-8.401218
96,57.7147,-3.6168602
97,-33.743973,18.948359
98,-28.442127000000006,21.225784
99,-28.091516,27.498531
100,-20.663612,26.280478
101,40.62880300000001,9.205301
102,31.213514,29.885641
103,32.017197,35.155937
104,39.63998400000001,39.22258400000001
105,51.16231,25.004053
106,45.109104,39.728878
107,52.24842,37.84028
108,59.918583,30.404507
109,68.877335,32.51729
110,55.799736,37.62217
111,56.362186,40.95696
